Address,Score,Allocation
0x00e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d5,0.0058721730,52849.55723402485
0x02352e6dcf0c77577222adee8c63d52243b5c33f,0.0001463973,1317.5757977617786
0x054cf498c73bcff0cfb94a0fcfb10356e30f71cb,0.0008823106,7940.795296479043
0x06d50814562467776af76134ad936440e6abb878,0.0044277468,39849.720886847135
0x08d52bdd8acbf9b45ade3d3fe4758389262cdd25,0.0007247750,6522.975383740674
0x0d142ccdd22d4902b6f94cdb1b23693cdcb2f796,0.0009468855,8521.969891179693
0x10a19e7ee7d7f8a52822f6817de8ea18204f2e4f,0.0131198778,118078.90039647368
0x1d65d296b6ad7fdbf77d3c9cc44c9b2787f1a341,0.0711381069,640242.9619961646
0x29fce0d2db8b5147d6355ac7f68089a4e6cfa986,0.0000014496,13.045950767481349
0x2ef2e49695f00fa835fb851c0575822f5f076a13,0.0579820034,521838.0306992539
0x308686553a1eac2fe721ac8b814de638975a276e,0.0002899100,2609.1901534962694
0x36c08d83428dbb17b9d1c4fe55190b89a562f37b,0.0000204196,183.77613878959647
0x3a11f4c84688a1264690d696d8d807a25ee02dd2,0.0008697301,7827.570460488809
0x4391d8fb658405bcc381967e98a2e0593271820e,0.0000126836,114.1520692154618
0x44e24b004bcf1124fbf2719a650dd8f2a3341d2c,0.0000094221,84.79867998862876
0x48bff3491d185bbb3a81ee41c03888d1e8035f5a,0.0000047125,42.41272094814089
0x49d56a0ae3608b683755cd54e2020134319213e5,0.0000657986,592.1870644193863
0x571e9aefff646cdfa80da4745293dab94a7ba4a2,0.0014495501,13045.950767481349
0x59693ebba325f592d858c30998d7c68ee29a4cb1,0.0000652298,587.0677845366607
0x5bf66e7b96ac308dbae5ddc85c0cfd253996c0db,0.0000070510,63.45910856498699
0x5e78c09984bd6608f8e913f0924062c043ed6ad7,0.0144955009,130459.50767481347
0x603c9545c03339b6f1bf8ed36d8b4dac71424b0e,0.0000188442,169.59735997725753
0x62da87ff2e2216f1858603a3db9313e178da3112,0.0544434726,489991.2533798846
0x659418bbb855c18f9253acbccc20b40051fee6b2,0.0025367126,22830.413843092356
0x67a122e18bbc259dba299b8259b102d940f07420,0.0000014496,13.045950767481349
0x6b18d2799c804251e307b9f80c130c637674eac2,0.0006740408,6066.367106878826
0x79954763edd1b71df832244a7c33b7ba9f00c9b8,0.0000211288,190.15950621754178
0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,0.0007888895,7100.005934477194
0x7ee300ec74f7af0304a9038381ea3dcf3aee940d,0.0004348650,3913.7852302444044
0x88a2f230c8c407e8fe10041900746a70ef28d8ee,0.0005195664,4676.097966845565
0x92532bf9fef6fb291621b664598f7b0699897542,0.0013856363,12470.727097589219
0x95bed7933b6046df3f638654e53237ce8b6e1dc3,0.0171877937,154690.1434137796
0x978c01b69dd722754d65fe39c4308f51b912a73b,0.0128434947,115591.45251953692
0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,0.2237830745,2014047.670472905
0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9,0.0497256288,447530.65900801047
0xafcea9e0b397c671179973883e6fe0d9e77b12ed,0.0001938008,1744.2071321322042
0xc258f9ebdffec87cd89819deddf824288fdcb9d6,0.0004348650,3913.7852302444044
0xcb4755ea7c0c05b6041c2a58f07bd922a37401fd,0.0022025334,19822.800353157207
0xcd1883d83aed27a87cc7572eb8f9855a0bdd944e,0.0048487450,43638.7053172251
0xd85872db2628c55591e7bfbe4349058b53facb97,0.0002689341,2420.406941085527
0xd87b52a2545064aa2fd7dc8ab7831e1e8d7f0bf6,0.0001449550,1304.595383619618
0xe3c9e09e49f75d7ec947484abf74579ea5aa0e18,0.0067992271,61193.04412009338
0xe58ce76deb798fd45fc4ecfb9a49f406e7ffc948,0.0017394601,15655.140920977617
0xe91f64ca1da165ca8437686b69a022156550837b,0.0047948914,43154.02215431164
0xea8d287e23f1e005fa8bd3c9d1efae2c726db9a4,0.0042867433,38580.68943421397
0xed9c851aadf96d4ff2fab2433bc4aa111babc15e,0.0003623875,3261.487691870337
0xeea1cba569adfb4a4d12f65f2987e8c89c05a1e5,0.0010702434,9632.19073825297
0xf3db5dbb73694583d6d42fb050de15b818e4e428,0.0000108716,97.8446307561101
0xf41f984ed5e4002c08d9da82e4c96c93304222c2,0.0002630530,2367.476632172618
0xf5c063c58670b27e6a9fa97a20dc5bbbc493dcb3,0.0026995928,24296.335147031168
0xfa125816b3884da3c8886160849499e1f3cfd1a5,0.0000174602,157.1421034379145
